[2022-09-22 09:43:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'name': 'Личный дискорд Кота', 'afk_channel_id': None, 'roles': [{'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '1071698665025', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '472357061267816468', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '818069381669978152'}, 'position': 1, 'permissions': '2048', 'name': 'TTHK', 'mentionable': False, 'managed': True, 'id': '818088159694815293', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '890308524817674301'}, 'position': 1, 'permissions': '8', 'name': 'bakamitai', 'mentionable': False, 'managed': True, 'id': '891716276316155934', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '563434444321587202'}, 'position': 1, 'permissions': '8', 'name': 'Maki.gg', 'mentionable': False, 'managed': True, 'id': '988890314683064432', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '1020591679008415814'}, 'position': 1, 'permissions': '3136', 'name': 'nerd-bot', 'mentionable': False, 'managed': True, 'id': '1022397176694984737', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'default_message_notifications': 0, 'explicit_content_filter': 0, 'channels': [{'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'name': 'основной', 'last_pin_timestamp': '2021-03-01T16:40:37+00:00', 'last_message_id': '1022397249914941441', 'id': '472357061267816471', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'name': 'gifs', 'last_message_id': '938201824186486815', 'id': '705121598860165321', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'name': 'дбд-перки', 'last_message_id': '754732759049568276', 'id': '754732725289615521', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'name': 'dumbass-builds', 'last_message_id': '885998120159281174', 'id': '756128733303406713', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'name': 'говно', 'last_message_id': '949083584201912400', 'id': '779778991493349386', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'name': 'ты-еблан', 'last_message_id': '820268259433381949', 'id': '794512093545234442', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'name': 'bты-себя-доводишь', 'last_message_id': '880745804774637578', 'id': '804020510165172256', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'name': 'подарок-жене', 'last_message_id': '1019661172854767656', 'id': '817276483705372672', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'name': 'bot-test', 'last_pin_timestamp': '2021-03-12T19:43:28+00:00', 'last_message_id': '988890389937287259', 'id': '818086448007348244', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'name': 'планы', 'last_message_id': '1021683793221910529', 'id': '821038321031446578', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'name': 'reserve-codes', 'last_message_id': '876777300920782848', 'id': '876777287654203452', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 11, 'permission_overwrites': [], 'name': 'trove', 'last_message_id': '876794447818547200', 'id': '876794408866029638', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 12, 'permission_overwrites': [], 'name': 'о-жене', 'last_message_id': '1008328676670181446', 'id': '888073170521849916', 'flags': 0}, {'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'name': 'f', 'last_message_id': None, 'id': '891718245135040562', 'flags': 0, 'bitrate': 64000}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 13, 'permission_overwrites': [], 'name': 'сцп', 'last_message_id': '950365180938833960', 'id': '950365156221792257', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 14, 'permission_overwrites': [], 'name': 'btd6', 'last_message_id': '960800654325080064', 'id': '960481042878320640', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 16, 'permission_overwrites': [], 'name': 'gh-code', 'last_message_id': '978282388104818758', 'id': '978282378076229755', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 15, 'permission_overwrites': [], 'name': 'server-at-mvps', 'last_message_id': '978282817471524935', 'id': '978282790904807455', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 17, 'permission_overwrites': [], 'name': 'nooo', 'last_message_id': '1018895689801027737', 'id': '990530269125701652', 'flags': 0}], 'member_count': 6, 'splash': None, 'public_updates_channel_id': None, 'nsfw': False, 'premium_progress_bar_enabled': False, 'presences': [], 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': '+vDUSA'}, 'metadata': {'omitted': False, 'hash': '2yxbPw'}, 'channels': {'omitted': False, 'hash': 'eVgEMw'}}, 'preferred_locale': 'en-US', 'embedded_activities': [], 'stickers': [], 'unavailable': False, 'voice_states': [], 'guild_scheduled_events': [], 'rules_channel_id': None, 'large': False, 'emojis': [{'roles': [], 'require_colons': True, 'name': 'index', 'managed': False, 'id': '792147056243638303', 'available': True, 'animated': False}, {'roles': [], 'require_colons': True, 'name': 'trianglecompressed', 'managed': False, 'id': '792147505461723143', 'available': True, 'animated': False}], 'threads': [], 'stage_instances': [], 'nsfw_level': 0, 'max_video_channel_users': 25, 'application_id': None, 'afk_timeout': 300, 'verification_level': 0, 'discovery_splash': None, 'id': '472357061267816468', 'mfa_level': 0, 'joined_at': '2022-09-22T06:41:22.196628+00:00', 'max_stage_video_channel_users': 0, 'premium_tier': 0, 'region': 'deprecated', 'banner': None, 'max_members': 500000, 'icon': None, 'lazy': True, 'premium_subscription_count': 0, 'owner_id': '291477074236014593', 'features': [], 'vanity_url_code': None, 'system_channel_flags': 0, 'system_channel_id': '472357061267816471', 'application_command_counts': {'2': 2, '1': 99}, 'description': None, 'hub_type': None, 'members': [{'user': {'username': 'nerd-bot', 'public_flags': 0, 'id': '1020591679008415814', 'discriminator': '4992', 'bot': True, 'avatar': None}, 'roles': ['1022397176694984737'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-09-22T06:41:22.196628+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}]}}
[2022-09-22 09:43:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2022-09-22 09:43:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'name': 'туда', 'afk_channel_id': None, 'roles': [{'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '1071698660929', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '802182206071767081', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {}, 'position': 6, 'permissions': '6546771529', 'name': 'дэбилы', 'mentionable': False, 'managed': False, 'id': '802186750813667340', 'icon': None, 'hoist': True, 'flags': 0, 'color': 10441197}, {'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '6546771521', 'name': 'новая роль', 'mentionable': False, 'managed': False, 'id': '814853574344572938', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '456633518882160642'}, 'position': 3, 'permissions': '150528', 'name': 'YouTube', 'mentionable': False, 'managed': True, 'id': '927577535330545774', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '1071698669121', 'name': 'тупой бот', 'mentionable': False, 'managed': False, 'id': '936664849574936586', 'icon': None, 'hoist': False, 'flags': 0, 'color': 10038562}, {'unicode_emoji': None, 'tags': {}, 'position': 7, 'permissions': '1071698660937', 'name': 'дэбилы невидимки', 'mentionable': False, 'managed': False, 'id': '939988543537815552', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '672822334641537041'}, 'position': 2, 'permissions': '537316416', 'name': 'Free Stuff', 'mentionable': False, 'managed': True, 'id': '951113424052551682', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '1071698660929', 'name': 'халява', 'mentionable': True, 'managed': False, 'id': '951113676042174495', 'icon': None, 'hoist': False, 'flags': 0, 'color': 9936031}, {'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '1071698660929', 'name': 'новая роль', 'mentionable': False, 'managed': False, 'id': '1009549618540970044', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '563434444321587202'}, 'position': 1, 'permissions': '8', 'name': 'Maki.gg', 'mentionable': False, 'managed': True, 'id': '1018561472705593446', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'unicode_emoji': None, 'tags': {'bot_id': '1020591679008415814'}, 'position': 1, 'permissions': '3136', 'name': 'nerd-bot', 'mentionable': False, 'managed': True, 'id': '1021050599317442644', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'default_message_notifications': 0, 'explicit_content_filter': 0, 'channels': [{'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'основной', 'last_pin_timestamp': '2022-03-07T20:57:31+00:00', 'last_message_id': '1021157150296387594', 'id': '802182206604050435', 'flags': 0}, {'video_quality_mode': 2, 'user_limit': 0, 'type': 2, 'rtc_region': 'russia', 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'спальня', 'last_message_id': None, 'id': '802182206604050436', 'flags': 0, 'bitrate': 48000}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1048576', 'allow': '1024'}, {'type': 0, 'id': '936664849574936586', 'deny': '0', 'allow': '535529258065'}], 'name': 'бот', 'last_message_id': '1021052911976992799', 'id': '802182401529872434', 'flags': 0}, {'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'перекинуть', 'last_message_id': None, 'id': '815553847439130634', 'flags': 0, 'bitrate': 64000}, {'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'кинотеатр', 'last_message_id': None, 'id': '830165544756838420', 'flags': 0, 'bitrate': 64000}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'корды-майн', 'last_message_id': '980836454227914763', 'id': '847503089522704455', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'gnar', 'last_message_id': '865941490404556820', 'id': '865897833923084309', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'kennen', 'last_message_id': '868829805188120606', 'id': '868829800675020850', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'домашка', 'last_message_id': '911182640172908545', 'id': '882627222341566524', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'авотьки', 'last_message_id': '993877530362794085', 'id': '916676040359804928', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'yeöyj', 'last_message_id': '986203898303905802', 'id': '924273530487595058', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1048576', 'allow': '1024'}, {'type': 0, 'id': '927577535330545774', 'deny': '0', 'allow': '535529258065'}], 'name': 'уведы-о-видео', 'last_message_id': '1004781921835954186', 'id': '927571596418359338', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'parent_id': '936665048313634867', 'name': 'цитатник', 'last_message_id': '1014564009535610910', 'id': '933093407839100989', 'flags': 0}, {'type': 4, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '802182206071767081', 'deny': '1049600', 'allow': '0'}], 'name': 'шобы бот не увидел', 'id': '936665048313634867', 'flags': 0}, {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'name': 'халява', 'last_message_id': '1019987750272893009', 'id': '951113458030620772', 'flags': 0}], 'member_count': 8, 'splash': None, 'public_updates_channel_id': None, 'nsfw': False, 'premium_progress_bar_enabled': False, 'presences': [], 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': 'sxeqAw'}, 'metadata': {'omitted': False, 'hash': '2jmgag'}, 'channels': {'omitted': False, 'hash': 'OLNrBg'}}, 'preferred_locale': 'en-US', 'embedded_activities': [], 'stickers': [], 'unavailable': False, 'voice_states': [{'user_id': '291477074236014593', 'suppress': False, 'session_id': '64f109f0f521e51c8498dcbfa709cbd9', 'self_video': False, 'self_mute': True, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'deaf': False, 'channel_id': '802182206604050436'}, {'user_id': '577128944873111572', 'suppress': False, 'session_id': 'b0737e057305f659c8c80d1d5e9dd34c', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'deaf': False, 'channel_id': '802182206604050436'}], 'guild_scheduled_events': [], 'rules_channel_id': None, 'large': False, 'emojis': [], 'threads': [], 'stage_instances': [], 'nsfw_level': 0, 'max_video_channel_users': 25, 'application_id': None, 'afk_timeout': 300, 'verification_level': 0, 'discovery_splash': None, 'id': '802182206071767081', 'mfa_level': 0, 'joined_at': '2022-09-18T13:30:33.149000+00:00', 'max_stage_video_channel_users': 0, 'premium_tier': 0, 'region': 'deprecated', 'banner': None, 'max_members': 500000, 'icon': None, 'lazy': True, 'premium_subscription_count': 0, 'owner_id': '291477074236014593', 'features': [], 'vanity_url_code': None, 'system_channel_flags': 0, 'system_channel_id': '802182206604050435', 'application_command_counts': {'2': 2, '1': 119}, 'description': None, 'hub_type': None, 'members': [{'user': {'username': 'Triesty', 'public_flags': 64, 'id': '577128944873111572', 'discriminator': '6247', 'bot': False, 'avatar': '57cc4376d6b47ae60892f8d6e52401bc'}, 'roles': ['939988543537815552', '802186750813667340'], 'premium_since': None, 'pending': False, 'nick': 'доброе утро', 'mute': False, 'joined_at': '2021-01-22T14:26:09.022000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'KOTEMAN123', 'public_flags': 128, 'id': '291477074236014593', 'discriminator': '0706', 'bot': False, 'avatar': 'f3a848d0933fcfda53042612e77069d2'}, 'roles': ['939988543537815552', '802186750813667340', '951113676042174495'], 'premium_since': None, 'pending': False, 'nick': 'cпокойной ночи', 'mute': False, 'joined_at': '2021-01-22T14:25:41.839000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'nerd-bot', 'public_flags': 0, 'id': '1020591679008415814', 'discriminator': '4992', 'bot': True, 'avatar': None}, 'roles': ['1021050599317442644'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-09-18T13:30:33.149000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'KOTEMAN123', 'public_flags': 128, 'id': '291477074236014593', 'discriminator': '0706', 'bot': False, 'avatar': 'f3a848d0933fcfda53042612e77069d2'}, 'roles': ['939988543537815552', '802186750813667340', '951113676042174495'], 'premium_since': None, 'pending': False, 'nick': 'cпокойной ночи', 'mute': False, 'joined_at': '2021-01-22T14:25:41.839000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Triesty', 'public_flags': 64, 'id': '577128944873111572', 'discriminator': '6247', 'bot': False, 'avatar': '57cc4376d6b47ae60892f8d6e52401bc'}, 'roles': ['939988543537815552', '802186750813667340'], 'premium_since': None, 'pending': False, 'nick': 'доброе утро', 'mute': False, 'joined_at': '2021-01-22T14:26:09.022000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}]}}
[2022-09-22 09:43:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2022-09-22 09:43:39] [DEBUG   ] discord.client: Dispatching event guild_available
[2022-09-22 09:43:39] [DEBUG   ] discord.client: Dispatching event guild_available
[2022-09-22 09:43:41] [DEBUG   ] discord.client: Dispatching event ready
[2022-09-22 09:44:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2022-09-22 09:44:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2022-09-22 09:45:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2022-09-22 09:45:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
